problema_detectado,variable_afectada,decision_tomada,justificacion
Conocer el total de ocupación de la reserva en una sola variable,total_gests,"Suma de adults, children y babies","Se crea total_guests, muestra tamaño total del grupo, concepto que ninguna columna expresa por separado, permitiendo analizar su relación con cancelaciones."
Diferenciar reservas de adultos y de grupos familiares con menores a cargo,is_family,"Creación de variable binaria: 1 si (children > 0 o babies > 0), 0 en caso contrario",Simplifica la lectura del perfil del cliente y muestra el comportamiento de reservas familiares.
La duración completa de la estadía se encuentra dividida en dos columnas distintas,total_stay_nights,Derivación por suma: stays_in_weekend_nights mas stays_in_week_nights,"Permite mostrar en una sola métrica la duración total del hospedaje, facilitando el análisis del impacto de la duración del viaje sobre la probabilidad de cancelación."
Necesidad de estimar el importe total de cada estadía,estimated_stay_amount,Crear estimated_stay_amount como producto de adr por total_stay_nights,El importe estimado resume el valor de la reserva y facilita analizar su posible relación con is_canceled
"Presencia de categorías con representación menor al 1% en market_segment (Aviation, Complementary) y distribution_channel (GDS)","market_segment, distribution_channel",Agrupación de categorías poco frecuentes bajo la etiqueta 'Other',Reduce la dispersión de categorías testimoniales y evita la creación de columnas dispersas o casi vacías.
booking_changes tiene más del 84% de valores en 0 y mucha cantidad de valores distintos positivos (mas de un cambio),has_booking_changes,"Creación de la variable binaria: 1 si booking_changes > 0, 0 en caso contrario","Aísla el comportamiento de reservas, reduciendolas a si tiene o no."
